signal_type,planet,target_planet,aspect_type,house,sphere,planet_weight,aspect_weight,strength,threshold,base,modifier,contribution,passed_threshold,source
aspect,Transit_Sun,Mercury,trine,,body_energy_health,0.8,0.85,0.9338697259480977,0.35,0.635031,0.0,0.635031,True,aspect
aspect,Transit_Sun,Pluto,square,,body_energy_health,0.8,0.85,0.130448884630744,0.35,0.088705,0.0,0.0,False,aspect
aspect,Transit_Moon,Neptune,trine,,body_energy_health,0.6,0.85,0.683566911841293,0.35,0.348619,0.0,0.0,False,aspect
aspect,Transit_Moon,Pluto,opposition,,body_energy_health,0.6,0.95,0.8693294118412922,0.35,0.495518,0.0,0.495518,True,aspect
aspect,Transit_Mars,Moon,sextile,,body_energy_health,1.0,0.55,0.8687267484298667,0.55,0.4778,0.0,0.0,False,aspect
aspect,Transit_Mars,Venus,trine,,body_energy_health,1.0,0.85,0.19202993867759943,0.35,0.163225,0.0,0.0,False,aspect
aspect,Transit_Mars,Mars,opposition,,body_energy_health,1.0,0.95,0.1816325613223988,0.35,0.172551,0.0,0.0,False,aspect
aspect,Transit_Mars,Jupiter,trine,,body_energy_health,1.0,0.85,0.23300493867759897,0.35,0.198054,0.0,0.0,False,aspect
aspect,Transit_Mars,Saturn,trine,,body_energy_health,1.0,0.85,0.7419424386776008,0.35,0.630651,0.2,0.830651,True,aspect
aspect,Transit_Saturn,Moon,trine,,body_energy_health,0.5,0.85,0.13768882884633804,0.35,0.058518,0.0,0.0,False,aspect
aspect,Transit_Saturn,Mars,trine,,body_energy_health,0.5,0.85,0.8576013288463393,0.35,0.364481,0.2,0.564481,True,aspect
aspect,Transit_Saturn,Neptune,trine,,body_energy_health,0.5,0.85,0.20327367115366002,0.35,0.086391,0.0,0.0,False,aspect
aspect,Transit_Saturn,Pluto,opposition,,body_energy_health,0.5,0.95,0.017511171153660854,0.35,0.008318,0.0,0.0,False,aspect
planet_in_house,Transit_Sun,,,1,body_energy_health,1.12,,1.0,,1.12,0.0,1.12,True,planet_in_house
planet_in_house,Transit_Mercury,,,1,body_energy_health,0.14,,1.0,,0.14,0.0,0.14,True,planet_in_house
aspect,Transit_Moon,Neptune,trine,,home_family_roots,1.0,0.85,0.683566911841293,0.35,0.581032,0.0,0.581032,True,aspect
aspect,Transit_Moon,Pluto,opposition,,home_family_roots,1.0,0.95,0.8693294118412922,0.35,0.825863,0.0,0.825863,True,aspect
aspect,Transit_Venus,Uranus,square,,home_family_roots,0.4,0.85,0.46255156593182234,0.35,0.157268,0.0,0.0,False,aspect
aspect,Transit_Venus,Neptune,trine,,home_family_roots,0.4,0.85,0.04238262019034522,0.35,0.01441,0.0,0.0,False,aspect
aspect,Transit_Saturn,Moon,trine,,home_family_roots,0.5,0.85,0.13768882884633804,0.35,0.058518,0.0,0.0,False,aspect
aspect,Transit_Saturn,Mars,trine,,home_family_roots,0.5,0.85,0.8576013288463393,0.35,0.364481,0.2,0.564481,True,aspect
aspect,Transit_Saturn,Neptune,trine,,home_family_roots,0.5,0.85,0.20327367115366002,0.35,0.086391,0.0,0.0,False,aspect
aspect,Transit_Saturn,Pluto,opposition,,home_family_roots,0.5,0.95,0.017511171153660854,0.35,0.008318,0.0,0.0,False,aspect
aspect,Transit_Moon,Neptune,trine,,inner_background_unconscious,0.6,0.85,0.683566911841293,0.35,0.348619,0.0,0.0,False,aspect
aspect,Transit_Moon,Pluto,opposition,,inner_background_unconscious,0.6,0.95,0.8693294118412922,0.35,0.495518,0.0,0.495518,True,aspect
aspect,Transit_Saturn,Moon,trine,,inner_background_unconscious,0.5,0.85,0.13768882884633804,0.35,0.058518,0.0,0.0,False,aspect
aspect,Transit_Saturn,Mars,trine,,inner_background_unconscious,0.5,0.85,0.8576013288463393,0.35,0.364481,0.2,0.564481,True,aspect
aspect,Transit_Saturn,Neptune,trine,,inner_background_unconscious,0.5,0.85,0.20327367115366002,0.35,0.086391,0.0,0.0,False,aspect
aspect,Transit_Saturn,Pluto,opposition,,inner_background_unconscious,0.5,0.95,0.017511171153660854,0.35,0.008318,0.0,0.0,False,aspect
aspect,Transit_Neptune,Moon,trine,,inner_background_unconscious,1.0,0.85,0.6069549684779556,0.35,0.515912,0.0,0.515912,True,aspect
aspect,Transit_Neptune,Venus,opposition,,inner_background_unconscious,1.0,0.95,0.4866200315220439,0.35,0.462289,0.2,0.662289,True,aspect
aspect,Transit_Neptune,Jupiter,opposition,,inner_background_unconscious,1.0,0.95,0.5275950315220435,0.35,0.501215,0.2,0.701215,True,aspect
aspect,Transit_Neptune,Saturn,opposition,,inner_background_unconscious,1.0,0.95,0.9634674684779547,0.35,0.915294,0.0,0.915294,True,aspect
aspect,Transit_Pluto,Sun,square,,inner_background_unconscious,0.4,0.85,0.6137941171131891,0.35,0.20869,0.0,0.0,False,aspect
aspect,Transit_Pluto,Moon,opposition,,inner_background_unconscious,0.4,0.95,0.6446198524740439,0.35,0.244956,0.0,0.0,False,aspect
aspect,Transit_Pluto,Venus,trine,,inner_background_unconscious,0.4,0.85,0.44895514752595744,0.35,0.152645,0.0,0.0,False,aspect
aspect,Transit_Pluto,Jupiter,trine,,inner_background_unconscious,0.4,0.85,0.489930147525957,0.35,0.166576,0.0,0.0,False,aspect
aspect,Transit_Pluto,Saturn,trine,,inner_background_unconscious,0.4,0.85,0.9988676475259588,0.35,0.339615,0.2,0.0,False,aspect
planet_in_house,Transit_Mars,,,12,inner_background_unconscious,0.1,,1.0,,0.1,0.0,0.1,True,planet_in_house
planet_in_house,Transit_Uranus,,,12,inner_background_unconscious,0.1,,1.0,,0.1,0.0,0.1,True,planet_in_house
planet_in_house,Transit_Pluto,,,8,inner_background_unconscious,0.4,,1.0,,0.4,0.0,0.4,True,planet_in_house
aspect,Transit_Mars,Moon,sextile,,crisis_transformation_control,0.7,0.55,0.8687267484298667,0.55,0.33446,0.0,0.0,False,aspect
aspect,Transit_Mars,Venus,trine,,crisis_transformation_control,0.7,0.85,0.19202993867759943,0.35,0.114258,0.0,0.0,False,aspect
aspect,Transit_Mars,Mars,opposition,,crisis_transformation_control,0.7,0.95,0.1816325613223988,0.35,0.120786,0.0,0.0,False,aspect
aspect,Transit_Mars,Jupiter,trine,,crisis_transformation_control,0.7,0.85,0.23300493867759897,0.35,0.138638,0.0,0.0,False,aspect
aspect,Transit_Mars,Saturn,trine,,crisis_transformation_control,0.7,0.85,0.7419424386776008,0.35,0.441456,0.2,0.641456,True,aspect
aspect,Transit_Saturn,Moon,trine,,crisis_transformation_control,0.6,0.85,0.13768882884633804,0.35,0.070221,0.0,0.0,False,aspect
aspect,Transit_Saturn,Mars,trine,,crisis_transformation_control,0.6,0.85,0.8576013288463393,0.35,0.437377,0.2,0.637377,True,aspect
aspect,Transit_Saturn,Neptune,trine,,crisis_transformation_control,0.6,0.85,0.20327367115366002,0.35,0.10367,0.0,0.0,False,aspect
aspect,Transit_Saturn,Pluto,opposition,,crisis_transformation_control,0.6,0.95,0.017511171153660854,0.35,0.009981,0.0,0.0,False,aspect
aspect,Transit_Pluto,Sun,square,,crisis_transformation_control,1.0,0.85,0.6137941171131891,0.35,0.521725,0.0,0.521725,True,aspect
aspect,Transit_Pluto,Moon,opposition,,crisis_transformation_control,1.0,0.95,0.6446198524740439,0.35,0.612389,0.0,0.612389,True,aspect
aspect,Transit_Pluto,Venus,trine,,crisis_transformation_control,1.0,0.85,0.44895514752595744,0.35,0.381612,0.0,0.381612,True,aspect
aspect,Transit_Pluto,Jupiter,trine,,crisis_transformation_control,1.0,0.85,0.489930147525957,0.35,0.416441,0.0,0.416441,True,aspect
aspect,Transit_Pluto,Saturn,trine,,crisis_transformation_control,1.0,0.85,0.9988676475259588,0.35,0.849038,0.2,1.049038,True,aspect
planet_in_house,Transit_Pluto,,,8,crisis_transformation_control,1.0,,1.0,,1.0,0.0,1.0,True,planet_in_house
aspect,Transit_Mercury,Mercury,trine,,meaning_expansion_vector,0.4,0.85,0.011687572086859888,0.35,0.003974,0.0,0.0,False,aspect
aspect,Transit_Mercury,Uranus,trine,,meaning_expansion_vector,0.4,0.85,0.8597374279131387,0.35,0.292311,0.0,0.0,False,aspect
aspect,Transit_Mercury,Pluto,square,,meaning_expansion_vector,0.4,0.85,0.8156286538135556,0.35,0.277314,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Sun,square,,meaning_expansion_vector,1.0,0.85,0.19026152106752647,0.35,0.161722,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Moon,conjunction,,meaning_expansion_vector,1.0,1.0,0.27402883093408725,0.35,0.274029,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Venus,sextile,,meaning_expansion_vector,1.0,0.55,0.759394892087883,0.55,0.417667,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Jupiter,sextile,,meaning_expansion_vector,1.0,0.55,0.8140282254212158,0.55,0.447716,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Saturn,sextile,,meaning_expansion_vector,1.0,0.55,0.5073884412454486,0.55,0.279064,0.2,0.0,False,aspect
aspect,Transit_Jupiter,Uranus,trine,,meaning_expansion_vector,1.0,0.85,0.12235866906591397,0.35,0.104005,0.0,0.0,False,aspect
aspect,Transit_Neptune,Moon,trine,,meaning_expansion_vector,0.5,0.85,0.6069549684779556,0.35,0.257956,0.0,0.0,False,aspect
aspect,Transit_Neptune,Venus,opposition,,meaning_expansion_vector,0.5,0.95,0.4866200315220439,0.35,0.231145,0.2,0.0,False,aspect
aspect,Transit_Neptune,Jupiter,opposition,,meaning_expansion_vector,0.5,0.95,0.5275950315220435,0.35,0.250608,0.2,0.0,False,aspect
aspect,Transit_Neptune,Saturn,opposition,,meaning_expansion_vector,0.5,0.95,0.9634674684779547,0.35,0.457647,0.0,0.457647,True,aspect
