activation_id,active,technique,technique_family,target_type,target_key,strength,polarity,mapped_sphere,mapping_reason,target_weight,family_weight,polarity_modifier,expected_amount,status
t2n__JUPITER__SESQUI_QUADRATE__MARS,True,transit_to_natal,transit,planet,MARS,0.1284,tense,crisis_transformation_control,planet MARS found in spheres.crisis_transformation_control.planets,0.7,1.0,1.0,0.0899,mapped
t2n__JUPITER__SEXTILE__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.4623,supportive,thinking_speech_learning,planet JUPITER found in spheres.thinking_speech_learning.planets,0.4,1.0,1.0,0.1849,mapped
t2n__JUPITER__SEXTILE__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.4623,supportive,work_status_achievement,planet JUPITER found in spheres.work_status_achievement.planets,0.3,1.0,1.0,0.1387,mapped
t2n__JUPITER__SEXTILE__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.4623,supportive,money_security_resources,planet JUPITER found in spheres.money_security_resources.planets,0.7,1.0,1.0,0.3236,mapped
t2n__JUPITER__SEXTILE__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.4623,supportive,meaning_expansion_vector,planet JUPITER found in spheres.meaning_expansion_vector.planets,1.0,1.0,1.0,0.4623,mapped
t2n__JUPITER__SEXTILE__SATURN,True,transit_to_natal,transit,planet,SATURN,0.3178,supportive,work_status_achievement,planet SATURN found in spheres.work_status_achievement.planets,1.0,1.0,1.0,0.3178,mapped
t2n__JUPITER__SEXTILE__SATURN,True,transit_to_natal,transit,planet,SATURN,0.3178,supportive,relationships_partnership,planet SATURN found in spheres.relationships_partnership.planets,0.3,1.0,1.0,0.0953,mapped
t2n__JUPITER__SEXTILE__SATURN,True,transit_to_natal,transit,planet,SATURN,0.3178,supportive,money_security_resources,planet SATURN found in spheres.money_security_resources.planets,0.6,1.0,1.0,0.1907,mapped
t2n__JUPITER__SEXTILE__SATURN,True,transit_to_natal,transit,planet,SATURN,0.3178,supportive,body_energy_health,planet SATURN found in spheres.body_energy_health.planets,0.5,1.0,1.0,0.1589,mapped
t2n__JUPITER__SEXTILE__SATURN,True,transit_to_natal,transit,planet,SATURN,0.3178,supportive,home_family_roots,planet SATURN found in spheres.home_family_roots.planets,0.5,1.0,1.0,0.1589,mapped
t2n__JUPITER__SEXTILE__SATURN,True,transit_to_natal,transit,planet,SATURN,0.3178,supportive,inner_background_unconscious,planet SATURN found in spheres.inner_background_unconscious.planets,0.5,1.0,1.0,0.1589,mapped
t2n__JUPITER__SEXTILE__SATURN,True,transit_to_natal,transit,planet,SATURN,0.3178,supportive,crisis_transformation_control,planet SATURN found in spheres.crisis_transformation_control.planets,0.6,1.0,1.0,0.1907,mapped
t2n__JUPITER__SESQUI_QUADRATE__NEPTUNE,True,transit_to_natal,transit,planet,NEPTUNE,0.0552,tense,inner_background_unconscious,planet NEPTUNE found in spheres.inner_background_unconscious.planets,1.0,1.0,1.0,0.0552,mapped
t2n__JUPITER__SESQUI_QUADRATE__NEPTUNE,True,transit_to_natal,transit,planet,NEPTUNE,0.0552,tense,meaning_expansion_vector,planet NEPTUNE found in spheres.meaning_expansion_vector.planets,0.5,1.0,1.0,0.0276,mapped
t2n__SATURN__QUINCUNX__SUN,True,transit_to_natal,transit,planet,SUN,0.0481,neutral,work_status_achievement,planet SUN found in spheres.work_status_achievement.planets,0.5,1.0,0.7,0.0168,mapped
t2n__SATURN__QUINCUNX__SUN,True,transit_to_natal,transit,planet,SUN,0.0481,neutral,body_energy_health,planet SUN found in spheres.body_energy_health.planets,0.8,1.0,0.7,0.0269,mapped
t2n__SATURN__TRINE__MOON,True,transit_to_natal,transit,planet,MOON,0.117,supportive,thinking_speech_learning,planet MOON found in spheres.thinking_speech_learning.planets,0.3,1.0,1.0,0.0351,mapped
t2n__SATURN__TRINE__MOON,True,transit_to_natal,transit,planet,MOON,0.117,supportive,relationships_partnership,planet MOON found in spheres.relationships_partnership.planets,0.6,1.0,1.0,0.0702,mapped
t2n__SATURN__TRINE__MOON,True,transit_to_natal,transit,planet,MOON,0.117,supportive,body_energy_health,planet MOON found in spheres.body_energy_health.planets,0.6,1.0,1.0,0.0702,mapped
t2n__SATURN__TRINE__MOON,True,transit_to_natal,transit,planet,MOON,0.117,supportive,home_family_roots,planet MOON found in spheres.home_family_roots.planets,1.0,1.0,1.0,0.117,mapped
t2n__SATURN__TRINE__MOON,True,transit_to_natal,transit,planet,MOON,0.117,supportive,inner_background_unconscious,planet MOON found in spheres.inner_background_unconscious.planets,0.6,1.0,1.0,0.0702,mapped
t2n__SATURN__QUINCUNX__MERCURY,True,transit_to_natal,transit,planet,MERCURY,0.3171,neutral,thinking_speech_learning,planet MERCURY found in spheres.thinking_speech_learning.planets,1.0,1.0,0.7,0.222,mapped
t2n__SATURN__QUINCUNX__MERCURY,True,transit_to_natal,transit,planet,MERCURY,0.3171,neutral,meaning_expansion_vector,planet MERCURY found in spheres.meaning_expansion_vector.planets,0.4,1.0,0.7,0.0888,mapped
t2n__SATURN__TRINE__MARS,True,transit_to_natal,transit,planet,MARS,0.6886,supportive,work_status_achievement,planet MARS found in spheres.work_status_achievement.planets,0.6,1.0,1.0,0.4132,mapped
t2n__SATURN__TRINE__MARS,True,transit_to_natal,transit,planet,MARS,0.6886,supportive,relationships_partnership,planet MARS found in spheres.relationships_partnership.planets,0.4,1.0,1.0,0.2754,mapped
t2n__SATURN__TRINE__MARS,True,transit_to_natal,transit,planet,MARS,0.6886,supportive,body_energy_health,planet MARS found in spheres.body_energy_health.planets,1.0,1.0,1.0,0.6886,mapped
